particle,step,energy,pos_x,pos_y,pos_z,cell,material,macro_total,d_coll,d_surf,event,hit_nuc,micro_el,micro_inel,micro_fis,micro_cap,out_energy,rng_xi
0,31,9.46493027e5,2.07727085e-1,3.62730561e-1,1.98209296e-2,2.00000000e0,1.00000000e0,2.87905113e-1,1.81244306e0,1.52378591e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,5.93444475e-1
0,32,9.46493027e5,9.74202335e-2,4.64902466e-1,4.45704420e-2,3.00000000e0,2.00000000e0,3.35797181e-1,1.24165958e1,2.46225528e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,1.54606397e-2
0,33,9.46493027e5,-8.08223981e-2,6.30000000e-1,8.45626830e-2,3.00000000e0,2.00000000e0,3.35797181e-1,2.37586643e0,7.58637504e-1,6.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,4.50314412e-1
0,34,9.46493027e5,-6.30000000e-1,1.21323333e-1,2.07781482e-1,3.00000000e0,2.00000000e0,3.35797181e-1,9.75130614e0,2.14871073e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,3.78372539e-2
0,35,9.46493027e5,-4.74454848e-1,-2.27506233e-2,2.42681097e-1,2.00000000e0,1.00000000e0,2.87905113e-1,1.95436543e0,8.93995353e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,5.69684944e-1
0,36,9.46493027e5,-4.09738527e-1,-8.26942229e-2,2.57201477e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.48588803e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,0.00000000e0
0,37,9.46493027e5,-3.98982178e-1,-9.26573090e-2,2.59614875e-1,0.00000000e0,0.00000000e0,3.89123782e-1,2.77577612e0,4.65675177e-1,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,3.39554607e-1
0,38,9.46493027e5,-6.18799642e-2,-4.04898795e-1,3.35250389e-1,1.00000000e0,-1.00000000e0,0.00000000e0,0.00000000e0,1.48588803e-2,9.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,0.00000000e0
0,39,9.46493027e5,-5.11236153e-2,-4.14861882e-1,3.37663788e-1,2.00000000e0,1.00000000e0,2.87905113e-1,5.33354782e0,8.93995353e-2,7.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,9.46493027e5,2.15335999e-1
0,40,9.46493027e5,1.35927053e-2,-4.74805481e-1,3.52184167e-1,3.00000000e0,2.00000000e0,3.35797181e-1,2.18766471e-1,2.31456228e-1,0.00000000e0,8.00000000e0,4.81707740e0,9.99997038e-31,0.00000000e0,1.05333748e-4,7.57123805e5,9.29172230e-1
