t_s,n,c1,c2,c3,c4,c5,c6,rho
8.300000e-1,4.427747e-1,1.981109e3,4.479104e3,1.049429e3,7.755391e2,4.908093e1,2.823695e0,-6.500000e-3
8.400000e-1,4.422431e-1,1.980973e3,4.478350e3,1.048805e3,7.743771e2,4.889066e1,2.813638e0,-6.500000e-3
8.500000e-1,4.417140e-1,1.980836e3,4.477596e3,1.048181e3,7.732172e2,4.870211e1,2.803791e0,-6.500000e-3
8.600000e-1,4.411873e-1,1.980700e3,4.476842e3,1.047558e3,7.720594e2,4.851526e1,2.794147e0,-6.500000e-3
8.700000e-1,4.406630e-1,1.980563e3,4.476087e3,1.046934e3,7.709037e2,4.833009e1,2.784702e0,-6.500000e-3
8.800000e-1,4.401411e-1,1.980426e3,4.475332e3,1.046311e3,7.697501e2,4.814659e1,2.775450e0,-6.500000e-3
8.900000e-1,4.396216e-1,1.980289e3,4.474576e3,1.045687e3,7.685986e2,4.796474e1,2.766386e0,-6.500000e-3
9.000000e-1,4.391044e-1,1.980152e3,4.473820e3,1.045064e3,7.674492e2,4.778452e1,2.757504e0,-6.500000e-3
9.100000e-1,4.385895e-1,1.980015e3,4.473063e3,1.044440e3,7.663019e2,4.760592e1,2.748800e0,-6.500000e-3
9.200000e-1,4.380769e-1,1.979878e3,4.472306e3,1.043817e3,7.651567e2,4.742891e1,2.740268e0,-6.500000e-3
9.300000e-1,4.375665e-1,1.979741e3,4.471548e3,1.043194e3,7.640135e2,4.725349e1,2.731904e0,-6.500000e-3
9.400000e-1,4.370584e-1,1.979603e3,4.470790e3,1.042570e3,7.628725e2,4.707964e1,2.723704e0,-6.500000e-3
9.500000e-1,4.365525e-1,1.979465e3,4.470031e3,1.041947e3,7.617335e2,4.690734e1,2.715662e0,-6.500000e-3
9.600000e-1,4.360487e-1,1.979328e3,4.469272e3,1.041324e3,7.605966e2,4.673657e1,2.707774e0,-6.500000e-3
9.700000e-1,4.355472e-1,1.979190e3,4.468512e3,1.040701e3,7.594618e2,4.656732e1,2.700037e0,-6.500000e-3
9.800000e-1,4.350477e-1,1.979052e3,4.467752e3,1.040078e3,7.583291e2,4.639958e1,2.692446e0,-6.500000e-3
9.900000e-1,4.345504e-1,1.978914e3,4.466991e3,1.039455e3,7.571985e2,4.623333e1,2.684996e0,-6.500000e-3
1.000000e0,4.340552e-1,1.978776e3,4.466230e3,1.038833e3,7.560700e2,4.606855e1,2.677685e0,-6.500000e-3
1.010000e0,4.335620e-1,1.978638e3,4.465469e3,1.038210e3,7.549436e2,4.590523e1,2.670509e0,-6.500000e-3
1.020000e0,4.330709e-1,1.978499e3,4.464707e3,1.037588e3,7.538192e2,4.574335e1,2.663464e0,-6.500000e-3
1.030000e0,4.325819e-1,1.978361e3,4.463945e3,1.036965e3,7.526970e2,4.558290e1,2.656545e0,-6.500000e-3
1.040000e0,4.320948e-1,1.978223e3,4.463182e3,1.036343e3,7.515768e2,4.542387e1,2.649751e0,-6.500000e-3
1.050000e0,4.316097e-1,1.978084e3,4.462418e3,1.035720e3,7.504587e2,4.526624e1,2.643077e0,-6.500000e-3
1.060000e0,4.311266e-1,1.977945e3,4.461655e3,1.035098e3,7.493427e2,4.510999e1,2.636521e0,-6.500000e-3
1.070000e0,4.306454e-1,1.977806e3,4.460891e3,1.034476e3,7.482287e2,4.495512e1,2.630079e0,-6.500000e-3
1.080000e0,4.301662e-1,1.977667e3,4.460126e3,1.033854e3,7.471169e2,4.480161e1,2.623747e0,-6.500000e-3
1.090000e0,4.296889e-1,1.977528e3,4.459361e3,1.033232e3,7.460071e2,4.464944e1,2.617524e0,-6.500000e-3
1.100000e0,4.292134e-1,1.977389e3,4.458596e3,1.032611e3,7.448994e2,4.449860e1,2.611406e0,-6.500000e-3
1.110000e0,4.287399e-1,1.977250e3,4.457830e3,1.031989e3,7.437938e2,4.434907e1,2.605391e0,-6.500000e-3
1.120000e0,4.282682e-1,1.977111e3,4.457064e3,1.031367e3,7.426902e2,4.420086e1,2.599475e0,-6.500000e-3
1.130000e0,4.277983e-1,1.976971e3,4.456297e3,1.030746e3,7.415887e2,4.405393e1,2.593656e0,-6.500000e-3
1.140000e0,4.273303e-1,1.976832e3,4.455530e3,1.030125e3,7.404893e2,4.390828e1,2.587932e0,-6.500000e-3
1.150000e0,4.268640e-1,1.976692e3,4.454762e3,1.029504e3,7.393920e2,4.376389e1,2.582299e0,-6.500000e-3
1.160000e0,4.263995e-1,1.976552e3,4.453994e3,1.028882e3,7.382967e2,4.362076e1,2.576757e0,-6.500000e-3
1.170000e0,4.259369e-1,1.976413e3,4.453226e3,1.028262e3,7.372035e2,4.347887e1,2.571301e0,-6.500000e-3
