t_s,n,c1,c2,c3,c4,c5,c6,rho
9.700000e-1,2.164768e0,2.002029e3,4.595638e3,1.149509e3,9.789391e2,9.859692e1,9.206204e0,3.152500e-3
9.800000e-1,2.192135e0,2.002318e3,4.597253e3,1.150895e3,9.817512e2,9.928145e1,9.295901e0,3.185000e-3
9.900000e-1,2.220181e0,2.002615e3,4.598904e3,1.152312e3,9.846281e2,9.998114e1,9.387551e0,3.217500e-3
1.000000e0,2.248930e0,2.002919e3,4.600595e3,1.153763e3,9.875713e2,1.006964e2,9.481211e0,3.250000e-3
1.010000e0,2.278408e0,2.003229e3,4.602326e3,1.155248e3,9.905825e2,1.014276e2,9.576940e0,3.282500e-3
1.020000e0,2.308640e0,2.003547e3,4.604097e3,1.156767e3,9.936636e2,1.021753e2,9.674802e0,3.315000e-3
1.030000e0,2.339654e0,2.003873e3,4.605910e3,1.158322e3,9.968163e2,1.029398e2,9.774860e0,3.347500e-3
1.040000e0,2.371478e0,2.004206e3,4.607766e3,1.159914e3,1.000043e3,1.037216e2,9.877181e0,3.380000e-3
1.050000e0,2.404143e0,2.004548e3,4.609666e3,1.161543e3,1.003344e3,1.045212e2,9.981837e0,3.412500e-3
1.060000e0,2.437679e0,2.004897e3,4.611612e3,1.163211e3,1.006723e3,1.053392e2,1.008890e1,3.445000e-3
1.070000e0,2.472120e0,2.005255e3,4.613604e3,1.164919e3,1.010182e3,1.061760e2,1.019845e1,3.477500e-3
1.080000e0,2.507501e0,2.005621e3,4.615643e3,1.166667e3,1.013723e3,1.070321e2,1.031056e1,3.510000e-3
1.090000e0,2.543857e0,2.005996e3,4.617732e3,1.168458e3,1.017348e3,1.079083e2,1.042531e1,3.542500e-3
1.100000e0,2.581227e0,2.006380e3,4.619871e3,1.170291e3,1.021059e3,1.088050e2,1.054281e1,3.575000e-3
1.110000e0,2.619650e0,2.006774e3,4.622062e3,1.172169e3,1.024859e3,1.097229e2,1.066312e1,3.607500e-3
1.120000e0,2.659170e0,2.007177e3,4.624306e3,1.174092e3,1.028751e3,1.106627e2,1.078636e1,3.640000e-3
1.130000e0,2.699830e0,2.007590e3,4.626605e3,1.176062e3,1.032736e3,1.116249e2,1.091262e1,3.672500e-3
1.140000e0,2.741677e0,2.008013e3,4.628960e3,1.178080e3,1.036819e3,1.126104e2,1.104200e1,3.705000e-3
