case,status,k_calc,k_sigma,k_ref,sigma_exp,delta_pcm,bound_pcm,sigma_ratio,ref_source,runtime_s,n_seeds,batches,inactive,particles,error
heu-met-fast-002_case-6,PASS,1.000923,0.000618,1.000000,0.003000,92.3,612.6,0.301,k_eff_reference (ICSBEP handbook),78.34,5,150,30,20000,
heu-met-fast-003_case-1,PASS,0.994023,0.000492,1.000000,0.005000,-597.7,1004.8,1.190,k_eff_reference (ICSBEP handbook),20.36,5,150,30,20000,
heu-met-fast-003_case-10,PASS,1.002914,0.000117,1.000000,0.005000,291.4,1000.3,0.583,k_eff_reference (ICSBEP handbook),58.11,5,150,30,20000,
heu-met-fast-003_case-11,PASS,1.009112,0.000418,1.000000,0.005000,911.2,1003.5,1.816,k_eff_reference (ICSBEP handbook),80.83,5,150,30,20000,
heu-met-fast-003_case-12,FAIL,1.006456,0.000168,1.000000,0.003000,645.6,600.9,2.149,k_eff_reference (ICSBEP handbook),79.85,5,150,30,20000,
heu-met-fast-003_case-2,PASS,0.992847,0.000512,1.000000,0.005000,-715.3,1005.2,1.423,k_eff_reference (ICSBEP handbook),26.15,5,150,30,20000,
heu-met-fast-003_case-3,PASS,0.998014,0.000360,1.000000,0.005000,-198.6,1002.6,0.396,k_eff_reference (ICSBEP handbook),32.14,5,150,30,20000,
heu-met-fast-003_case-4,PASS,0.996849,0.000555,1.000000,0.003000,-315.1,610.2,1.033,k_eff_reference (ICSBEP handbook),38.99,5,150,30,20000,
heu-met-fast-003_case-5,PASS,1.000858,0.000261,1.000000,0.003000,85.8,602.3,0.285,k_eff_reference (ICSBEP handbook),56.28,5,150,30,20000,
heu-met-fast-003_case-6,PASS,1.000971,0.000277,1.000000,0.003000,97.1,602.5,0.322,k_eff_reference (ICSBEP handbook),64.49,5,150,30,20000,
heu-met-fast-003_case-7,PASS,1.001764,0.000659,1.000000,0.003000,176.4,614.3,0.574,k_eff_reference (ICSBEP handbook),79.69,5,150,30,20000,
heu-met-fast-003_case-8,PASS,0.998376,0.000112,1.000000,0.005000,-162.4,1000.3,0.325,k_eff_reference (ICSBEP handbook),30.03,5,150,30,20000,
heu-met-fast-003_case-9,PASS,0.998710,0.000220,1.000000,0.005000,-129.0,1001.0,0.258,k_eff_reference (ICSBEP handbook),38.69,5,150,30,20000,
heu-met-fast-004_case-1,PASS,1.001580,0.000247,1.002000,0.000000,-42.0,150.0,1.700,k_eff_reference (ICSBEP handbook),167.79,5,150,30,20000,
heu-met-fast-008,PASS,0.994805,0.000295,0.995800,0.001600,-99.5,325.4,0.612,local_validation (OpenMC on this scene),46.91,5,150,30,20000,
heu-met-fast-009_case-1,PASS,0.998315,0.000147,0.999200,0.001500,-88.5,301.4,0.587,k_eff_reference (ICSBEP handbook),60.08,5,150,30,20000,
heu-met-fast-009_case-2,PASS,0.996758,0.000270,0.999200,0.001500,-244.2,304.8,1.602,k_eff_reference (ICSBEP handbook),56.93,5,150,30,20000,
heu-met-fast-011,FAIL,0.993102,0.000219,0.998900,0.001500,-579.8,303.2,3.825,k_eff_reference (ICSBEP handbook),145.66,5,150,30,20000,
heu-met-fast-012,PASS,0.997182,0.000400,0.999200,0.001800,-201.8,368.8,1.095,k_eff_reference (ICSBEP handbook),49.64,5,150,30,20000,
heu-met-fast-013,FAIL,0.995810,0.000316,0.999000,0.001500,-319.0,306.6,2.081,k_eff_reference (ICSBEP handbook),63.84,5,150,30,20000,
heu-met-fast-014,PASS,0.996503,0.000195,0.998900,0.001700,-239.7,342.2,1.401,k_eff_reference (ICSBEP handbook),55.93,5,150,30,20000,
heu-met-fast-015,FAIL,0.993819,0.000414,0.999600,0.001700,-578.1,349.9,3.304,k_eff_reference (ICSBEP handbook),26.89,5,150,30,20000,
heu-met-fast-018_case-2,PASS,0.998436,0.000609,1.000000,0.001400,-156.4,305.4,1.025,k_eff_reference (ICSBEP handbook),24.33,5,150,30,20000,
heu-met-fast-019_case-1,FAIL,1.006188,0.000574,1.000000,0.002800,618.8,571.7,2.165,k_eff_reference (ICSBEP handbook),52.43,5,150,30,20000,
heu-met-fast-019_case-2,FAIL,1.006338,0.000303,1.000000,0.002800,633.8,563.3,2.251,k_eff_reference (ICSBEP handbook),29.34,5,150,30,20000,
heu-met-fast-020_case-2,PASS,0.999625,0.000187,1.000000,0.002800,-37.5,561.2,0.134,k_eff_reference (ICSBEP handbook),27.41,5,150,30,20000,
heu-met-fast-021_case-2,PASS,0.995734,0.000252,1.000000,0.002400,-426.6,482.6,1.768,k_eff_reference (ICSBEP handbook),75.00,5,150,30,20000,
heu-met-fast-022_case-2,PASS,0.996421,0.000429,1.000000,0.001900,-357.9,389.6,1.837,k_eff_reference (ICSBEP handbook),31.58,5,150,30,20000,
heu-met-fast-027,PASS,0.999449,0.000578,1.000000,0.002500,-55.1,513.2,0.215,k_eff_reference (ICSBEP handbook),57.73,5,150,30,20000,
heu-met-fast-028,PASS,1.001772,0.000405,1.000000,0.003000,177.2,605.4,0.585,k_eff_reference (ICSBEP handbook),51.56,5,150,30,20000,
