t_s,n,c1,c2,c3,c4,c5,c6,rho
5.800000e-1,2.396935e0,2.008997e3,4.634506e3,1.183084e3,1.048023e3,1.159977e2,1.142440e1,3.250000e-3
5.900000e-1,2.403553e0,2.009340e3,4.636415e3,1.184703e3,1.051213e3,1.166685e2,1.148525e1,3.250000e-3
6.000000e-1,2.410167e0,2.009686e3,4.638333e3,1.186328e3,1.054412e3,1.173372e2,1.154540e1,3.250000e-3
6.100000e-1,2.416778e0,2.010032e3,4.640260e3,1.187959e3,1.057618e3,1.180037e2,1.160486e1,3.250000e-3
6.200000e-1,2.423385e0,2.010381e3,4.642195e3,1.189597e3,1.060832e3,1.186682e2,1.166366e1,3.250000e-3
6.300000e-1,2.429989e0,2.010731e3,4.644138e3,1.191241e3,1.064054e3,1.193306e2,1.172182e1,3.250000e-3
6.400000e-1,2.436591e0,2.011083e3,4.646091e3,1.192892e3,1.067283e3,1.199910e2,1.177935e1,3.250000e-3
6.500000e-1,2.443189e0,2.011436e3,4.648051e3,1.194548e3,1.070521e3,1.206493e2,1.183627e1,3.250000e-3
6.600000e-1,2.449786e0,2.011791e3,4.650020e3,1.196211e3,1.073766e3,1.213056e2,1.189261e1,3.250000e-3
6.700000e-1,2.456380e0,2.012147e3,4.651998e3,1.197880e3,1.077018e3,1.219600e2,1.194837e1,3.250000e-3
6.800000e-1,2.462972e0,2.012505e3,4.653984e3,1.199555e3,1.080279e3,1.226124e2,1.200358e1,3.250000e-3
6.900000e-1,2.469562e0,2.012865e3,4.655979e3,1.201236e3,1.083547e3,1.232628e2,1.205825e1,3.250000e-3
7.000000e-1,2.476151e0,2.013226e3,4.657983e3,1.202924e3,1.086822e3,1.239114e2,1.211239e1,3.250000e-3
7.100000e-1,2.482738e0,2.013589e3,4.659994e3,1.204617e3,1.090105e3,1.245580e2,1.216602e1,3.250000e-3
7.200000e-1,2.489323e0,2.013953e3,4.662015e3,1.206317e3,1.093396e3,1.252027e2,1.221917e1,3.250000e-3
7.300000e-1,2.495908e0,2.014319e3,4.664043e3,1.208023e3,1.096694e3,1.258456e2,1.227183e1,3.250000e-3
7.400000e-1,2.502492e0,2.014687e3,4.666081e3,1.209735e3,1.100000e3,1.264866e2,1.232402e1,3.250000e-3
7.500000e-1,2.509075e0,2.015056e3,4.668127e3,1.211454e3,1.103313e3,1.271258e2,1.237577e1,3.250000e-3
7.600000e-1,2.515657e0,2.015426e3,4.670181e3,1.213178e3,1.106633e3,1.277633e2,1.242707e1,3.250000e-3
